Year,City,Population (in Lakhs) (2011)+,Murder,Kidnapping,Crime against women,Crime against children,Crime Committed by Juveniles,Crime against Senior Citizen,Crime against SC,Crime against ST,Economic Offences,Cyber Crimes
2016,Chennai,87.0,98,741,2163,993,336,185,76,6,1634,544
2017,Chennai,87.0,133,34,544,230,391,210,10,0,426,26
2018,Chennai,87.0,94,700,2239,943,344,226,73,16,1685,545
2019,Chennai,87.0,118,709,2183,939,345,213,79,12,1657,567
2020,Chennai,87.0,127,736,2157,983,358,192,79,5,1681,523
2021,Chennai,87.0,97,720,2143,967,323,199,82,11,1644,577
2022,Chennai,87.0,133,34,544,230,391,210,10,0,426,26
1996,Coimbatore,21.5,104,722,2114,973,349,213,89,11,1583,514
1997,Coimbatore,21.5,31,4,97,111,27,32,3,0,92,4
1998,Coimbatore,21.5,21,5,76,32,34,113,1,0,145,19
1999,Coimbatore,21.5,21,14,105,22,2,13,9,0,188,20
2000,Coimbatore,21.5,104,722,2114,973,349,213,89,11,1583,514
2001,Coimbatore,21.5,21,5,76,32,34,113,1,0,145,19
2002,Coimbatore,21.5,21,5,76,32,34,113,1,0,145,19
2003,Coimbatore,21.5,116,699,2105,969,349,196,77,11,1606,586
2004,Coimbatore,21.5,21,14,105,22,2,13,9,0,188,20
2005,Coimbatore,21.5,96,725,2117,957,304,201,78,10,1608,501
2006,Coimbatore,21.5,132,669,2126,944,341,238,87,8,1610,524
2007,Coimbatore,21.5,109,717,2210,998,363,209,83,14,1608,553
2008,Coimbatore,21.5,105,677,2032,954,313,227,72,10,1621,567
2009,Coimbatore,21.5,132,669,2126,944,341,238,87,8,1610,524
2010,Coimbatore,21.5,100,698,2147,972,332,214,85,11,1602,578
2011,Coimbatore,21.5,109,717,2210,998,363,209,83,14,1608,553
2012,Coimbatore,21.5,109,717,2210,998,363,209,83,14,1608,553
2013,Coimbatore,21.5,123,715,2172,972,338,234,81,10,1623,551
2014,Coimbatore,21.5,27,8,102,69,19,233,3,0,118,18
2015,Coimbatore,21.5,30,11,190,106,19,45,18,0,182,44
2016,Coimbatore,21.5,31,4,97,111,27,32,3,0,92,4
2017,Coimbatore,21.5,31,4,97,111,27,32,3,0,92,4
2018,Coimbatore,21.5,109,717,2210,998,363,209,83,14,1608,553
2019,Coimbatore,21.5,96,725,2117,957,304,201,78,10,1608,501
2020,Coimbatore,21.5,90,742,2074,983,335,198,83,12,1681,555
2021,Coimbatore,21.5,104,722,2114,973,349,213,89,11,1583,514
2022,Coimbatore,21.5,25,10,109,38,54,52,3,0,171,20
1996,Delhi,163.1,97,681,2103,996,315,194,84,8,1692,572
1997,Delhi,163.1,505,5746,12902,7565,2760,1076,69,2,4817,107
1998,Delhi,163.1,479,5925,13803,7392,2368,642,46,2,5942,90
1999,Delhi,163.1,106,707,2107,912,347,194,91,3,1622,550
2000,Delhi,163.1,123,741,2164,963,340,212,86,12,1618,553
2001,Delhi,163.1,112,726,2051,980,317,212,83,9,1614,563
2002,Delhi,163.1,97,681,2103,996,315,194,84,8,1692,572
2003,Delhi,163.1,100,775,2133,1001,347,210,80,11,1660,554
2004,Delhi,163.1,454,5475,13982,7029,2618,1166,130,5,5102,345
2005,Delhi,163.1,106,707,2107,912,347,194,91,3,1622,550
2006,Delhi,163.1,106,707,2107,912,347,194,91,3,1622,550
2007,Delhi,163.1,103,735,2084,984,345,235,89,7,1692,562
2008,Delhi,163.1,112,726,2051,980,317,212,83,9,1614,563
2009,Delhi,163.1,111,695,2155,927,300,207,80,13,1596,553
2010,Delhi,163.1,123,741,2164,963,340,212,86,12,1618,553
2011,Delhi,163.1,103,735,2084,984,345,235,89,7,1692,562
2012,Delhi,163.1,102,727,2138,951,327,181,74,10,1670,502
2013,Delhi,163.1,461,4011,9782,5256,2436,906,66,1,4445,166
2014,Delhi,163.1,112,726,2051,980,317,212,83,9,1614,563
2015,Delhi,163.1,111,719,2104,976,356,221,69,5,1707,587
2016,Delhi,163.1,103,735,2084,984,345,235,89,7,1692,562
2017,Delhi,163.1,472,6016,13260,8139,1671,875,70,2,5138,224
2018,Delhi,163.1,120,688,2168,1010,325,228,88,8,1615,560
2019,Delhi,163.1,111,719,2104,976,356,221,69,5,1707,587
2020,Delhi,163.1,112,726,2051,980,317,212,83,9,1614,563
2021,Delhi,163.1,107,764,2147,989,332,204,87,10,1581,544
2022,Delhi,163.1,472,6016,13260,8139,1671,875,70,2,5138,224
1996,Ghaziabad,23.6,88,705,2117,961,348,210,82,13,1647,565
1997,Ghaziabad,23.6,118,733,2195,963,338,191,84,10,1660,539
1998,Ghaziabad,23.6,52,532,1166,42,20,1,40,0,473,118
1999,Ghaziabad,23.6,73,276,1027,191,25,7,38,0,455,61
2000,Ghaziabad,23.6,110,704,2152,989,326,223,78,8,1690,555
2001,Ghaziabad,23.6,25,50,591,136,0,0,42,0,595,451
2002,Ghaziabad,23.6,88,705,2117,961,348,210,82,13,1647,565
2003,Ghaziabad,23.6,23,78,341,140,0,0,22,0,567,756
2004,Ghaziabad,23.6,125,701,2243,1036,322,184,81,17,1666,486
2005,Ghaziabad,23.6,73,276,1027,191,25,7,38,0,455,61
2006,Ghaziabad,23.6,73,276,1027,191,25,7,38,0,455,61
2007,Ghaziabad,23.6,87,714,2203,992,310,196,73,8,1699,533
2008,Ghaziabad,23.6,25,50,591,136,0,0,42,0,595,451
2009,Ghaziabad,23.6,124,677,2248,955,335,199,98,9,1688,514
2010,Ghaziabad,23.6,110,704,2152,989,326,223,78,8,1690,555
2011,Ghaziabad,23.6,87,714,2203,992,310,196,73,8,1699,533
2012,Ghaziabad,23.6,111,690,2174,965,343,209,86,10,1659,535
2013,Ghaziabad,23.6,108,753,2192,987,323,210,76,9,1669,578
2014,Ghaziabad,23.6,25,50,591,136,0,0,42,0,595,451
2015,Ghaziabad,23.6,105,680,2128,969,319,213,73,11,1554,525
2016,Ghaziabad,23.6,87,714,2203,992,310,196,73,8,1699,533
2017,Ghaziabad,23.6,98,715,2178,986,315,202,87,7,1667,546
2018,Ghaziabad,23.6,104,686,2121,982,361,215,83,6,1634,555
2019,Ghaziabad,23.6,105,680,2128,969,319,213,73,11,1554,525
2020,Ghaziabad,23.6,25,50,591,136,0,0,42,0,595,451
2021,Ghaziabad,23.6,110,722,2116,941,345,216,95,7,1713,534
2022,Ghaziabad,23.6,98,715,2178,986,315,202,87,7,1667,546
1996,Hyderabad,77.5,118,752,2105,1002,377,178,96,10,1620,585
1997,Hyderabad,77.5,95,332,2450,486,95,48,116,21,2326,369
1998,Hyderabad,77.5,111,738,2210,1001,332,216,74,4,1594,514
1999,Hyderabad,77.5,130,676,2142,997,330,212,81,12,1583,511
2000,Hyderabad,77.5,87,709,2158,955,341,205,79,13,1511,538
2001,Hyderabad,77.5,98,711,2091,954,345,199,66,9,1622,540
2002,Hyderabad,77.5,82,709,2168,1022,354,210,80,13,1597,594
2003,Hyderabad,77.5,98,743,2191,960,324,220,82,12,1644,527
2004,Hyderabad,77.5,109,705,2153,987,343,202,82,3,1638,562
2005,Hyderabad,77.5,101,741,2150,967,337,209,109,7,1642,594
2006,Hyderabad,77.5,98,694,2138,971,312,221,97,10,1658,545
2007,Hyderabad,77.5,86,359,2419,410,121,40,139,21,2239,291
2008,Hyderabad,77.5,104,748,2192,978,317,210,89,12,1585,548
2009,Hyderabad,77.5,109,721,2188,938,344,185,80,11,1644,534
2010,Hyderabad,77.5,98,738,2078,1007,316,210,74,6,1610,513
2011,Hyderabad,77.5,107,751,2282,955,317,233,82,11,1647,557
2012,Hyderabad,77.5,120,793,2137,961,325,193,81,12,1631,567
2013,Hyderabad,77.5,95,733,2177,969,359,197,81,6,1638,574
2014,Hyderabad,77.5,71,451,2390,467,172,170,127,26,3427,2553
2015,Hyderabad,77.5,120,702,2064,966,359,215,85,14,1625,544
2016,Hyderabad,77.5,121,741,2184,950,334,194,83,12,1612,562
2017,Hyderabad,77.5,109,759,2123,1028,330,207,84,5,1689,541
2018,Hyderabad,77.5,86,519,2755,506,350,193,117,16,1895,1379
2019,Hyderabad,77.5,110,724,2107,949,344,205,77,12,1700,556
2020,Hyderabad,77.5,112,764,2173,1018,342,171,85,8,1644,518
2021,Hyderabad,77.5,81,411,2332,491,363,29,123,25,1788,428
2022,Hyderabad,77.5,103,676,2131,960,346,211,77,12,1645,505
1996,Indore,21.7,114,718,2156,973,354,205,68,7,1593,535
1997,Indore,21.7,110,683,2169,982,340,191,78,10,1608,538
1998,Indore,21.7,57,523,1593,962,368,114,38,7,268,39
1999,Indore,21.7,88,439,941,730,352,74,60,8,238,63
2000,Indore,21.7,103,717,2172,985,370,227,75,9,1607,548
2001,Indore,21.7,103,747,2162,973,342,201,92,7,1626,574
2002,Indore,21.7,114,718,2156,973,354,205,68,7,1593,535
2003,Indore,21.7,115,693,2135,917,346,215,83,15,1570,560
2004,Indore,21.7,88,439,941,730,352,74,60,8,238,63
2005,Indore,21.7,88,439,941,730,352,74,60,8,238,63
2006,Indore,21.7,103,747,2162,973,342,201,92,7,1626,574
2007,Indore,21.7,100,723,2094,978,347,231,88,13,1611,484
2008,Indore,21.7,103,717,2172,985,370,227,75,9,1607,548
2009,Indore,21.7,132,719,2181,964,314,199,89,12,1716,544
2010,Indore,21.7,92,709,2202,967,364,201,97,12,1609,524
2011,Indore,21.7,103,747,2162,973,342,201,92,7,1626,574
2012,Indore,21.7,122,728,2089,993,324,205,79,7,1752,554
2013,Indore,21.7,61,453,929,478,505,67,55,7,205,65
2014,Indore,21.7,116,761,2126,993,323,187,91,3,1646,563
2015,Indore,21.7,122,728,2089,993,324,205,79,7,1752,554
2016,Indore,21.7,103,747,2162,973,342,201,92,7,1626,574
2017,Indore,21.7,82,686,2148,932,329,206,75,9,1656,503
2018,Indore,21.7,61,453,929,478,505,67,55,7,205,65
2019,Indore,21.7,92,709,2202,967,364,201,97,12,1609,524
2020,Indore,21.7,61,453,929,478,505,67,55,7,205,65
2021,Indore,21.7,63,466,1346,767,281,95,40,12,273,46
2022,Indore,21.7,126,696,2075,966,293,189,99,6,1649,518
1996,Jaipur,30.7,109,708,2061,942,301,215,95,13,1640,558
1997,Jaipur,30.7,88,748,2134,966,356,201,74,11,1698,562
1998,Jaipur,30.7,123,746,2170,982,323,189,78,13,1663,568
1999,Jaipur,30.7,121,681,2131,950,316,216,87,8,1624,538
2000,Jaipur,30.7,111,715,2184,984,275,198,85,7,1674,557
2001,Jaipur,30.7,106,708,2105,953,325,181,80,16,1635,594
2002,Jaipur,30.7,130,680,2139,973,363,182,89,6,1571,520
2003,Jaipur,30.7,113,735,2161,998,351,206,89,13,1626,557
2004,Jaipur,30.7,128,698,2166,987,328,205,83,9,1581,544
2005,Jaipur,30.7,118,715,2068,997,349,211,82,12,1656,542
2006,Jaipur,30.7,108,653,2428,646,358,117,297,65,4961,374
2007,Jaipur,30.7,108,734,2099,954,337,214,77,6,1569,581
2008,Jaipur,30.7,90,630,2201,747,270,118,297,85,5613,563
2009,Jaipur,30.7,115,716,2143,946,339,199,81,9,1638,553
2010,Jaipur,30.7,97,569,2090,699,255,108,219,88,4742,532
2011,Jaipur,30.7,107,706,2142,955,353,192,90,5,1614,534
2012,Jaipur,30.7,90,520,1857,679,273,26,84,46,4318,685
2013,Jaipur,30.7,96,537,2030,615,308,17,180,76,4385,415
2014,Jaipur,30.7,93,829,3417,910,332,24,343,168,6107,544
2015,Jaipur,30.7,95,532,2369,691,196,157,235,134,3217,192
2016,Jaipur,30.7,112,714,2141,1004,343,201,81,6,1595,583
2017,Jaipur,30.7,122,693,2123,956,325,220,77,11,1641,585
2018,Jaipur,30.7,118,613,2827,728,222,123,361,155,4275,254
2019,Jaipur,30.7,114,686,2119,966,333,195,71,9,1572,488
2020,Jaipur,30.7,98,740,2129,960,342,195,80,6,1633,546
2021,Jaipur,30.7,104,736,2169,928,351,205,66,13,1593,549
2022,Jaipur,30.7,116,753,2068,1021,309,212,86,10,1607,555
1996,Kanpur,29.2,94,710,2190,960,318,201,93,13,1625,541
1997,Kanpur,29.2,102,678,2218,991,346,188,75,9,1748,514
1998,Kanpur,29.2,92,689,2159,1028,348,188,79,12,1697,518
1999,Kanpur,29.2,118,728,2209,962,349,172,74,9,1623,540
2000,Kanpur,29.2,102,690,2168,968,339,216,67,15,1618,544
2001,Kanpur,29.2,56,233,859,147,131,0,146,0,468,44
2002,Kanpur,29.2,107,696,2119,1007,315,230,81,11,1679,543
2003,Kanpur,29.2,41,223,1056,205,15,0,163,0,281,300
2004,Kanpur,29.2,107,713,2164,929,363,203,72,11,1586,548
2005,Kanpur,29.2,133,773,2141,932,316,176,87,9,1679,587
2006,Kanpur,29.2,69,409,1050,189,14,0,107,0,551,136
2007,Kanpur,29.2,115,728,2095,958,353,216,83,16,1669,556
2008,Kanpur,29.2,109,745,2144,970,347,204,74,7,1610,563
2009,Kanpur,29.2,91,710,2095,959,346,196,93,11,1596,550
2010,Kanpur,29.2,100,685,2152,968,332,202,79,6,1663,497
2011,Kanpur,29.2,51,541,1574,303,9,0,137,0,765,229
2012,Kanpur,29.2,48,152,894,196,12,0,165,0,433,449
2013,Kanpur,29.2,110,732,2155,971,355,220,81,5,1595,600
2014,Kanpur,29.2,93,686,2089,956,339,187,87,12,1661,560
2015,Kanpur,29.2,116,731,2153,1000,346,219,87,12,1653,557
2016,Kanpur,29.2,102,738,2101,983,379,256,73,9,1669,514
2017,Kanpur,29.2,119,736,2170,953,303,217,74,8,1616,554
2018,Kanpur,29.2,53,292,1315,276,10,0,169,0,437,365
2019,Kanpur,29.2,105,744,2160,1001,358,221,80,9,1590,482
2020,Kanpur,29.2,109,690,2102,958,319,197,80,10,1685,552
2021,Kanpur,29.2,59,259,817,150,8,0,94,0,428,338
2022,Kanpur,29.2,51,541,1574,303,9,0,137,0,765,229
1996,Kochi,21.2,88,707,2168,1003,335,198,83,8,1626,521
1997,Kochi,21.2,9,15,403,126,20,67,19,2,481,62
1998,Kochi,21.2,12,11,537,139,12,34,20,0,461,48
1999,Kochi,21.2,12,13,408,76,42,9,20,1,598,26
2000,Kochi,21.2,101,719,2192,986,352,224,81,9,1634,561
2001,Kochi,21.2,10,13,531,138,22,28,13,2,434,62
2002,Kochi,21.2,88,707,2168,1003,335,198,83,8,1626,521
2003,Kochi,21.2,122,713,2133,989,316,201,78,4,1609,545
2004,Kochi,21.2,106,689,2153,986,364,191,70,7,1713,521
2005,Kochi,21.2,12,13,408,76,42,9,20,1,598,26
2006,Kochi,21.2,12,13,408,76,42,9,20,1,598,26
2007,Kochi,21.2,10,13,531,138,22,28,13,2,434,62
2008,Kochi,21.2,106,726,2173,946,330,181,74,6,1650,576
2009,Kochi,21.2,101,719,2192,986,352,224,81,9,1634,561
2010,Kochi,21.2,116,713,2107,993,343,216,82,8,1697,563
2011,Kochi,21.2,107,669,2147,945,350,201,75,10,1670,538
2012,Kochi,21.2,10,13,531,138,22,28,13,2,434,62
2013,Kochi,21.2,113,656,2164,932,306,208,91,8,1639,512
2014,Kochi,21.2,10,14,392,86,58,13,35,2,577,33
2015,Kochi,21.2,111,694,2182,988,367,188,77,12,1703,564
2016,Kochi,21.2,113,656,2164,932,306,208,91,8,1639,512
2017,Kochi,21.2,10,13,531,138,22,28,13,2,434,62
2018,Kochi,21.2,111,698,2151,937,337,219,87,10,1680,569
2019,Kochi,21.2,10,14,392,86,58,13,35,2,577,33
2020,Kochi,21.2,107,669,2147,945,350,201,75,10,1670,538
2021,Kochi,21.2,10,14,392,86,58,13,35,2,577,33
2022,Kochi,21.2,122,730,2195,979,341,237,70,11,1684,569
1996,Kolkata,141.1,144,771,2136,973,310,197,81,7,1633,541
1997,Kolkata,141.1,93,733,2170,1084,351,204,82,13,1610,557
1998,Kolkata,141.1,99,739,2161,978,351,203,84,5,1674,574
1999,Kolkata,141.1,102,712,2132,966,351,185,83,9,1661,543
2000,Kolkata,141.1,104,708,2097,1004,331,189,86,14,1670,546
2001,Kolkata,141.1,83,715,2158,956,347,197,79,10,1646,522
2002,Kolkata,141.1,45,346,1783,497,25,2,18,0,2077,220
2003,Kolkata,141.1,50,220,1474,282,36,14,11,5,2327,160
2004,Kolkata,141.1,90,676,2088,987,301,230,70,15,1641,546
2005,Kolkata,141.1,112,765,2116,978,289,202,71,6,1654,490
2006,Kolkata,141.1,125,724,2188,982,332,210,79,7,1628,515
2007,Kolkata,141.1,78,290,1693,317,19,26,9,2,2155,168
2008,Kolkata,141.1,96,771,2195,959,325,240,77,6,1630,538
2009,Kolkata,141.1,116,709,2098,969,300,216,89,16,1642,581
2010,Kolkata,141.1,74,343,2353,352,66,16,9,0,2276,98
2011,Kolkata,141.1,105,725,2124,993,310,196,95,5,1661,540
2012,Kolkata,141.1,99,745,2064,976,353,209,81,6,1651,579
2013,Kolkata,141.1,127,690,2110,1048,324,181,82,8,1640,539
2014,Kolkata,141.1,108,718,2223,945,340,222,90,8,1625,596
2015,Kolkata,141.1,99,702,2205,964,348,206,91,15,1692,559
2016,Kolkata,141.1,106,693,2144,973,351,214,77,4,1579,570
2017,Kolkata,141.1,53,308,2001,486,97,20,18,2,1817,172
2018,Kolkata,141.1,64,374,1975,643,35,36,14,0,2198,196
2019,Kolkata,141.1,108,706,2156,1015,322,228,84,12,1658,551
2020,Kolkata,141.1,55,378,2176,574,23,44,14,3,2729,32
2021,Kolkata,141.1,110,683,2072,961,347,194,98,10,1602,573
2022,Kolkata,141.1,82,708,2142,1025,356,190,75,15,1625,577
1996,Kozhikode,20.3,102,712,2212,981,328,205,89,8,1633,526
1997,Kozhikode,20.3,84,760,2065,931,310,201,80,12,1667,563
1998,Kozhikode,20.3,103,685,2056,998,335,216,80,12,1608,494
1999,Kozhikode,20.3,108,685,2151,959,350,178,80,10,1595,556
2000,Kozhikode,20.3,116,697,2112,961,330,225,70,7,1709,553
2001,Kozhikode,20.3,7,27,473,199,22,27,24,0,174,15
2002,Kozhikode,20.3,102,712,2212,981,328,205,89,8,1633,526
2003,Kozhikode,20.3,111,703,2083,1003,348,211,72,9,1723,555
2004,Kozhikode,20.3,8,19,349,157,26,37,26,1,134,27
2005,Kozhikode,20.3,5,21,632,162,22,53,31,1,311,37
2006,Kozhikode,20.3,108,685,2151,959,350,178,80,10,1595,556
2007,Kozhikode,20.3,108,685,2151,959,350,178,80,10,1595,556
2008,Kozhikode,20.3,118,745,2185,965,327,186,71,9,1702,531
2009,Kozhikode,20.3,7,27,473,199,22,27,24,0,174,15
2010,Kozhikode,20.3,80,727,2067,972,357,206,66,13,1634,539
2011,Kozhikode,20.3,116,697,2112,961,330,225,70,7,1709,553
2012,Kozhikode,20.3,118,745,2185,965,327,186,71,9,1702,531
2013,Kozhikode,20.3,132,715,2064,970,314,220,65,12,1678,530
2014,Kozhikode,20.3,5,12,394,137,8,113,20,0,300,12
2015,Kozhikode,20.3,7,27,473,199,22,27,24,0,174,15
2016,Kozhikode,20.3,121,716,2072,1018,333,204,92,9,1673,531
2017,Kozhikode,20.3,118,745,2185,965,327,186,71,9,1702,531
2018,Kozhikode,20.3,118,659,2116,947,338,236,78,6,1704,530
2019,Kozhikode,20.3,96,746,2163,975,327,202,76,8,1679,509
2020,Kozhikode,20.3,121,716,2072,1018,333,204,92,9,1673,531
2021,Kozhikode,20.3,7,27,473,199,22,27,24,0,174,15
2022,Kozhikode,20.3,112,715,2140,937,366,236,72,8,1666,569
1996,Lucknow,29.0,108,769,2197,932,327,193,86,11,1653,520
1997,Lucknow,29.0,105,701,2063,953,309,182,51,8,1650,573
1998,Lucknow,29.0,103,730,2152,940,342,211,104,11,1623,547
1999,Lucknow,29.0,105,712,2156,956,331,205,100,14,1663,576
2000,Lucknow,29.0,107,348,1260,146,0,5,61,0,1351,205
2001,Lucknow,29.0,93,682,2214,958,328,215,72,7,1730,556
2002,Lucknow,29.0,102,715,2109,1020,324,203,86,10,1653,569
2003,Lucknow,29.0,113,778,2185,970,333,214,87,11,1628,567
2004,Lucknow,29.0,97,924,2205,956,41,15,262,0,1584,361
2005,Lucknow,29.0,89,712,2179,980,382,183,62,8,1613,594
2006,Lucknow,29.0,94,767,2199,1001,313,226,68,7,1638,540
2007,Lucknow,29.0,84,1112,2736,706,97,7,229,0,2504,962
2008,Lucknow,29.0,109,677,2115,994,346,186,87,7,1740,520
2009,Lucknow,29.0,106,664,2088,921,347,188,89,9,1686,539
2010,Lucknow,29.0,107,724,2189,981,337,216,98,10,1614,603
2011,Lucknow,29.0,79,711,2156,966,310,204,83,10,1631,558
2012,Lucknow,29.0,124,715,2196,964,339,197,76,6,1542,532
2013,Lucknow,29.0,102,734,2164,955,282,184,77,13,1736,567
2014,Lucknow,29.0,101,773,2161,633,90,52,268,0,3440,1067
2015,Lucknow,29.0,100,712,2184,939,309,222,82,12,1623,557
2016,Lucknow,29.0,139,736,2204,976,339,175,81,9,1597,529
2017,Lucknow,29.0,107,702,2149,968,301,206,86,8,1686,574
2018,Lucknow,29.0,81,735,2636,604,120,46,295,0,2224,1465
2019,Lucknow,29.0,75,269,2425,310,63,8,234,0,3011,1262
2020,Lucknow,29.0,103,727,2174,946,349,209,78,10,1621,597
2021,Lucknow,29.0,118,704,2222,981,327,212,66,10,1587,572
2022,Lucknow,29.0,123,717,2211,933,362,176,65,11,1637,521
1996,Mumbai,184.1,127,725,2128,979,336,193,74,9,1658,534
1997,Mumbai,184.1,99,740,2118,896,322,239,81,9,1609,533
1998,Mumbai,184.1,106,718,2088,997,332,198,76,10,1637,623
1999,Mumbai,184.1,127,2159,5453,3790,914,1115,31,3,4462,1362
2000,Mumbai,184.1,90,733,2113,1022,359,207,84,7,1666,510
2001,Mumbai,184.1,112,718,2084,969,332,191,66,12,1625,535
2002,Mumbai,184.1,112,722,2066,953,344,213,79,8,1623,595
2003,Mumbai,184.1,106,682,2155,984,321,204,90,9,1690,570
2004,Mumbai,184.1,128,694,2126,993,343,205,87,12,1616,582
2005,Mumbai,184.1,123,650,2196,976,341,224,85,10,1509,577
2006,Mumbai,184.1,119,720,2174,1002,333,230,88,16,1676,582
2007,Mumbai,184.1,147,1949,5128,3400,946,1218,30,3,4191,980
2008,Mumbai,184.1,98,733,2109,905,336,207,93,9,1634,541
2009,Mumbai,184.1,183,541,3974,1456,926,944,35,4,4285,608
